""Great Performances"" Cats (1998) : 6625
'burbs, The (1989) : 1632
Way We Were, The (1973) : 2567
Way of the Dragon, The (a.k.a. Return of the Dragon) (Meng long guo jiang) (1972) : 3508
Way of the Gun, The (2000) : 3112
Way, Way Back, The (2013) : 8307
Weather Man, The (2005) : 6253
Weather Underground, The (2002) : 5304
Wedding Banquet, The (Xi yan) (1993) : 4931
Wedding Date, The (2005) : 6017
Wedding Gift, The (1994) : 510
Wedding Planner, The (2001) : 3259
Wedding Singer, The (1998) : 1390
Wedding, A (1978) : 5780
Weight of Water, The (2000) : 4316
Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994) : 330
What Happened, Miss Simone? (2015) : 8772
What's New, Pussycat (1965) : 4949
What's Up, Doc? (1972) : 4680
What's Up, Tiger Lily? (1966) : 4702
Whistleblower, The (2010) : 7955
White Balloon, The (Badkonake sefid) (1995) : 74
White Ribbon, The (Das weiße Band) (2009) : 7293
White Sheik, The (Sceicco bianco, Lo) (1952) : 4616
White Sound, The (Das weiße Rauschen) (2001) : 6012
White Stripes Under Great White Northern Lights, The (2009) : 7708
Whole Nine Yards, The (2000) : 2646
Whole Ten Yards, The (2004) : 5129
Whole Wide World, The (1996) : 1147
Wicker Man, The (1973) : 3726
Wicker Man, The (2006) : 6491
Wife, The (1995) : 697
Wild Angels, The (1966) : 5299
Wild Blue Yonder, The (2005) : 6382
Wild Bunch, The (1969) : 530
Wild Parrots of Telegraph Hill, The (2003) : 6085
Wild Thornberrys Movie, The (2002) : 4396
Wind Rises, The (Kaze tachinu) (2013) : 8360
Wind That Shakes the Barley, The (2006) : 6493
Wind Will Carry Us, The (Bad ma ra khahad bord) (1999) : 5880
Winged Migration (Peuple migrateur, Le) (2001) : 4563
Wings of Desire (Himmel über Berlin, Der) (1987) : 967
Wings of the Dove, The (1997) : 1337
Winslow Boy, The (1999) : 2089
Winter Guest, The (1997) : 1363
Witches of Eastwick, The (1987) : 4946
Witches, The (1990) : 4945
Witchfinder General (Conquerer Worm, The) (1968) : 5192
Witching and Bitching (Brujas de Zugarramurdi, Las) (2014) : 8535
With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000) : 3262
Wiz, The (1978) : 4573
Wizard of Oz, The (1939) : 740
Wolf Man, The (1941) : 2126
Wolf of Wall Street, The (2013) : 8435
Wolfman, The (2010) : 7434
Wolverine, The (2013) : 8339
Woman Under the Influence, A (1974) : 4964
Woman in Red, The (1984) : 4437
Woman in the Fifth, The (Femme du Vème, La) (2011) : 8290
Woman in the Window, The (1944) : 5682
Woman, The (2011) : 7824
Women, The (1939) : 747
Women, The (2008) : 7013
Wonderful World of the Brothers Grimm, The (1962) : 5715
Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993) : 327
Wood, The (1999) : 2171
Woodsman, The (2004) : 5979
World According to Garp, The (1982) : 3402
World Before Her, The (2012) : 8248
World Is Not Enough, The (1999) : 2477
World of Apu, The (Apur Sansar) (1959) : 574
World of Suzie Wong, The (1960) : 5509
World's End, The (2013) : 8324
World's Fastest Indian, The (2005) : 6335
Wrestler, The (2008) : 7096
Wrong Guy, The (1997) : 4250
Wrong Man, The (1956) : 1734
X-Files: Fight the Future, The (1998) : 1473
X-Files: I Want to Believe, The (2008) : 6983
Yards, The (2000) : 2217
Year of Living Dangerously, The (1982) : 2341
Yearling, The (1946) : 4214
Yes Men Fix the World, The (2009) : 7447
Yes Men, The (2003) : 5951
Yes, Madam (a.k.a. Police Assassins) (a.k.a. In the Line of Duty 2) (Huang gu shi jie) (1985) : 792
You, Me and Dupree (2006) : 6425
Young Master, The (Shi di chu ma) (1980) : 4019
Young Poisoner's Handbook, The (1995) : 106
Young Victoria, The (2009) : 7190
Yours, Mine and Ours (1968) : 5738
Zed & Two Noughts, A (1985) : 2590
Zero Theorem, The (2013) : 8497
Zorro, the Gay Blade (1981) : 3680
$9.99 (2008) : 7436
'Hellboy': The Seeds of Creation (2004) : 8143
'Neath the Arizona Skies (1934) : 7256
'Round Midnight (1986) : 5805
'Salem's Lot (2004) : 5922
'Til There Was You (1997) : 643
'night Mother (1986) : 2504
(500) Days of Summer (2009) : 7245
*batteries not included (1987) : 5340
...And God Spoke (1993) : 4713
...And Justice for All (1979) : 2726
1-900 (06) (1994) : 713
10 (1979) : 4737
10 Attitudes (2001) : 8931
10 Cloverfield Lane (2016) : 9017
10 Items or Less (2006) : 6554
10 Things I Hate About You (1999) : 2063
10 Years (2011) : 8168
100 Girls (2000) : 5164
100 Rifles (1969) : 6947
101 Dalmatians (1996) : 1108
101 Dalmatians (One Hundred and One Dalmatians) (1961) : 1645
101 Reykjavik (101 Reykjavík) (2000) : 4588
102 Dalmatians (2000) : 3195
11:14 (2003) : 5908
12 Angry Men (1957) : 960
12 Angry Men (1997) : 7509
12 Years a Slave (2013) : 8404
127 Hours (2010) : 7635
12:08 East of Bucharest (A fost sau n-a fost?) (2006) : 6730
13 Assassins (Jûsan-nin no shikaku) (2010) : 7759
13 Ghosts (1960) : 3747
13 Going on 30 (2004) : 5143
13 Tzameti (2005) : 6540
1408 (2007) : 6706
15 Minutes (2001) : 3320
16 Blocks (2006) : 6359
16 Wishes (2010) : 8932
17 Again (2009) : 7183
18 Again! (1988) : 3520
187 (One Eight Seven) (1997) : 1280
1941 (1979) : 4990
1984 (1956) : 7021
1984 (Nineteen Eighty-Four) (1984) : 1677
1990: The Bronx Warriors (1990: I guerrieri del Bronx) (1982) : 7639
2 Days in New York (2012) : 8071
2 Days in the Valley (1996) : 806
2 Guns (2013) : 8345
2 ou 3 choses que je sais d'elle (2 or 3 Things I Know About Her) (1967) : 925
20 Dates (1998) : 1994
20 Feet from Stardom (Twenty Feet from Stardom) (2013) : 8311
200 Cigarettes (1999) : 2005
200 Motels (1971) : 6210
2001: A Space Odyssey (1968) : 745
2010: The Year We Make Contact (1984) : 1828
2012 (2009) : 7358
2046 (2004) : 5881
21 (2008) : 6897
21 Grams (2003) : 4882
21 Jump Street (2012) : 7998
21 Up (1977) : 6671
22 Jump Street (2014) : 8573
23 (23 - Nichts ist so wie es scheint) (1998) : 6401
24 Hour Party People (2002) : 4170
24: Redemption (2008) : 7539
25 Watts (2001) : 6121
25th Hour (2002) : 4392
27 Dresses (2008) : 6842
28 Days (2000) : 2822
28 Days Later (2002) : 4665
28 Up (1985) : 5167
28 Weeks Later (2007) : 6680
29th and Gay (2005) : 8933
3 Extremes (Three... Extremes) (Saam gaang yi) (2004) : 6150
3 Idiots (2009) : 7418
3 Ninjas (1992) : 3720
3 Ninjas Kick Back (1994) : 3721
3 Ninjas Knuckle Up (1995) : 3722
3 Ninjas: High Noon On Mega Mountain (1998) : 1371
3 Women (Three Women) (1977) : 5363
3-Day Weekend (2008) : 8937
3-Iron (Bin-jip) (2004) : 5974
30 Days of Night (2007) : 6776
30 Minutes or Less (2011) : 7834
30 Years to Life (2001) : 4034
300 (2007) : 6632
3000 Miles to Graceland (2001) : 3316
300: Rise of an Empire (2014) : 8510
35 Up (1991) : 5832
3:10 to Yuma (1957) : 4052
3:10 to Yuma (2007) : 6747
4 Little Girls (1997) : 3358
4 for Texas (1963) : 3914
40 Days and 40 Nights (2002) : 3972
42 (2013) : 8277
42 Up (1998) : 2473
42nd Street (1933) : 4972
45 Years (2015) : 8785
47 Ronin (2013) : 8428
48 Hrs. (1982) : 3908
49 Up (2005) : 6593
49th Parallel (1941) : 6313
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007) : 7102
50 First Dates (2004) : 5081
50/50 (2011) : 7873
52 Pick-Up (1986) : 1981
54 (1998) : 1739
56 Up (2012) : 8139
5x2 (2004) : 6045
61* (2001) : 5889
7 Days (Les 7 jours du talion) (2010) : 7625
7 Days in Hell (2015) : 8901
7 Plus Seven (1970) : 6597
71 Fragments of a Chronology of Chance (71 Fragmente einer Chronologie des Zufalls) (1994) : 5857
8 1/2 (8½) (1963) : 1005
8 Heads in a Duffel Bag (1997) : 1212
8 Mile (2002) : 4318
8 Seconds (1994) : 359
8 Women (2002) : 4224
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999) : 2895
84 Charing Cross Road (1987) : 4114
88 Minutes (2008) : 6690
8MM (1999) : 2006
9 (2005) : 8670
9 (2009) : 7290
9 1/2 Weeks (Nine 1/2 Weeks) (1986) : 2961
96 Minutes (2011) : 8023
99 Homes (2014) : 8773
A Deadly Adoption (2015) : 8872
A Home at the End of the World (2004) : 5487
A Million Ways to Die in the West (2014) : 8562
A Most Violent Year (2014) : 8719
A Most Wanted Man (2014) : 8607
A Very Murray Christmas (2015) : 8993
A Walk in the Sun (1945) : 784
A-Haunting We Will Go (1942) : 7322
A.I. Artificial Intelligence (2001) : 3461
A.R.O.G. (2008) : 9004
AVP: Alien vs. Predator (2004) : 5534
AVPR: Aliens vs. Predator - Requiem (2007) : 6834
Abandon (2002) : 4260
Abbott and Costello Meet Frankenstein (1948) : 3139
Abbott and Costello Meet the Invisible Man (1951) : 5999
Abbott and Costello Meet the Mummy (1955) : 3733
Abduction (2011) : 7893
About Elly (Darbareye Elly) (2009) : 7480
About Last Night (2014) : 8504
About Last Night... (1986) : 1788
About Schmidt (2002) : 4388
About Time (2013) : 8366
About a Boy (2002) : 4098
Above the Law (1988) : 3523
Above the Rim (1994) : 360
Abraham Lincoln: Vampire Hunter (2012) : 8049
Absence of Malice (1981) : 4278
Absent (Ausente) (2011) : 8420
Absolute Giganten (1999) : 6992
Absolute Power (1997) : 1181
Accattone (1961) : 4712
Accepted (2006) : 6483
Ace Ventura: Pet Detective (1994) : 309
Ace Ventura: When Nature Calls (1995) : 18
Aces: Iron Eagle III (1992) : 2258
Across the Line: The Exodus of Charlie Wright (2010) : 8024
Across the Sea of Time (1995) : 35
Across the Universe (2007) : 6715
Action Jackson (1988) : 2964
Adam (2009) : 7273
Adam's Apples (Adams æbler) (2005) : 6481
Adam's Rib (1949) : 4998
Adaptation (2002) : 4367
Addams Family Reunion (1998) : 5872
Addams Family Values (1993) : 361
Addicted to Love (1997) : 1231
Admission (2013) : 8272
Adventureland (2009) : 7174
Adventures in Babysitting (1987) : 1691
Aeon Flux (2005) : 6214
Affliction (1997) : 1948
Africa Screams (1949) : 5136
Africa: The Serengeti (1994) : 3518
African Cats (2011) : 7772
Afro Samurai (2007) : 8908
Afro Samurai: Resurrection (2009) : 7145
After Earth (2013) : 8304
After Hours (1985) : 5139
After Life (Wandafuru raifu) (1998) : 2099
After the Sunset (2004) : 5616
After the Thin Man (1936) : 5241
After the Wedding (Efter brylluppet) (2006) : 6588
Afterglow (1997) : 1368
Aftermath (1994) : 8217
Against All Odds (1984) : 2578
Against the Ropes (2004) : 5093
Agent Cody Banks (2003) : 4724
Agnes of God (1985) : 2607
Agora (2009) : 7443
Ai Weiwei: Never Sorry (2012) : 8109
Aileen: Life and Death of a Serial Killer (2003) : 5028
Aimée & Jaguar (1999) : 3082
Air America (1990) : 3072
Air Bud (1997) : 1264
Air Bud: Golden Receiver (1998) : 1710
Air Force One (1997) : 1279
Airheads (1994) : 363
Airplane II: The Sequel (1982) : 2236
Airplane! (1980) : 2235
Airport '77 (1977) : 2019
Airport (1970) : 2017
Airport 1975 (1974) : 2018
Akeelah and the Bee (2006) : 6384
Akira (1988) : 1028
Aladdin (1992) : 521
Aladdin and the King of Thieves (1996) : 861
Alan Partridge: Alpha Papa (2013) : 8351
Alaska (1996) : 663
Alaska: Spirit of the Wild (1997) : 3519
Albatross (2011) : 7948
Albert Nobbs (2011) : 7940
Albino Alligator (1996) : 1096
Alex Cross (2012) : 8140
Alex and Emma (2003) : 4663
Alexander (2004) : 5622
Alfie (1966) : 3340
Alfie (2004) : 5603
Ali (2001) : 3881
Ali G Indahouse (2002) : 5896
Ali: Fear Eats the Soul (Angst essen Seele auf) (1974) : 4668
Alias Betty (Betty Fisher et autres histoires) (2001) : 4205
Alice (1990) : 3476
Alice (Neco z Alenky) (1988) : 5816
Alice Doesn't Live Here Anymore (1974) : 5550
Alice in Wonderland (1933) : 7609
Alice in Wonderland (1951) : 836
Alice in Wonderland (2010) : 7455
Alice in the Cities (Alice in den Stadten) (1974) : 6584
Alice's Restaurant (1969) : 5739
Alien (1979) : 970
Alien Contamination (1980) : 4829
Alien Escape (1995) : 1344
Alien Nation (1988) : 2955
Alien: Resurrection (1997) : 1343
Aliens (1986) : 957
Aliens in the Attic (2009) : 7261
Alien³ (a.k.a. Alien 3) (1992) : 1065
Alive (1993) : 2606
All About Eve (1950) : 746
All About My Mother (Todo sobre mi madre) (1999) : 2478
All About the Benjamins (2002) : 3981
All Dogs Go to Heaven (1989) : 1683
All Dogs Go to Heaven 2 (1996) : 552
All Good Things (2010) : 7665
All I Want for Christmas (1991) : 5597
All Is Lost (2013) : 8405
All Over the Guy (2001) : 3701
All Quiet on the Western Front (1930) : 1490
All That Jazz (1979) : 2383
All Tomorrow's Parties (2009) : 7574
All is Bright (2013) : 8439
All of Me (1984) : 5459
All or Nothing (2002) : 4308
All the King's Men (1949) : 1504
All the President's Men (1976) : 4801
All the Pretty Horses (2000) : 3231
All the Real Girls (2003) : 4485
All the Right Moves (1983) : 4006
All the Vermeers in New York (1990) : 2821
All-Star Superman (2011) : 7714
Allan Quatermain and the Lost City of Gold (1987) : 2200
Alligator (1980) : 2022
Almost Famous (2000) : 3113
Almost Heroes (1998) : 1458
Almost Normal (2005) : 8934
Aloha (2015) : 8860
Alone in the Dark (1982) : 4375
Along Came Polly (2004) : 5030
Along Came a Spider (2001) : 3377
Alpha Dog (2007) : 6586
Altered States (1980) : 3693
Alvin and the Chipmunks (2007) : 6817
Alvin and the Chipmunks: The Squeakquel (2009) : 7392
Always (1989) : 3594
Am Ende eiens viel zu kurzen Tages (Death of a superhero) (2011) : 8457
Amadeus (1984) : 981
Amarcord (1973) : 4981
Amateur (1994) : 128
Amazing Grace (2006) : 6629
Amazon Women on the Moon (1987) : 3263
Ambush (Rukajärven tie) (1999) : 5227
Amelia (2009) : 7339
America's Sweethearts (2001) : 3642
American Beauty (1999) : 2288
American Buffalo (1996) : 662
American Dream (1990) : 929
American Flyers (1985) : 2584
American Gangster (2007) : 6794
American Gigolo (1980) : 2909
American Graffiti (1973) : 2689
American Heart (1992) : 4501
American Heist (2015) : 8760
American History X (1998) : 1843
American Hustle (2013) : 8440
American Mary (2012) : 8321
American Me (1992) : 4429
American Movie (1999) : 2416
American Ninja (1985) : 3595
American Ninja 2: The Confrontation (1987) : 3596
American Ninja 3: Blood Hunt (1989) : 3597
American Outlaws (2001) : 3700
American Pie (1999) : 2164
American Pie 2 (2001) : 3697
American Pie Presents Beta House (American Pie 6: Beta House) (2007) : 6928
American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006) : 6583
American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005) : 6256
American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009) : 7394
American Pimp (1999) : 2971
American Pop (1981) : 2977
American Psycho (2000) : 2823
American Reunion (American Pie 4) (2012) : 8006
American Sniper (2014) : 8643
American Splendor (2003) : 4723
American Teen (2008) : 6984
American Ultra (2015) : 8925
American Wedding (American Pie 3) (2003) : 4704
American: The Bill Hicks Story (2009) : 7761
Amistad (1997) : 1345
Amityville 1992: It's About Time (1992) : 1067
Amityville 3-D (1983) : 1068
Amityville II: The Possession (1982) : 1071
Amityville: A New Generation (1993) : 1070
Amityville: Dollhouse (1996) : 1069
Among Giants (1998) : 2060
Amores Perros (Love's a Bitch) (2000) : 3374
Amos & Andrew (1993) : 1166
Amour (2012) : 8160
Amy (2015) : 8896
An Evening with Robin Williams (1982) : 8788
Anaconda (1997) : 1208
Anacondas: The Hunt for the Blood Orchid (2004) : 5544
Analyze That (2002) : 4365
Analyze This (1999) : 2035
Anastasia (1956) : 4671
Anastasia (1997) : 1341
Anatomy (Anatomie) (2000) : 3109
Anatomy of a Murder (1959) : 3039
Anchorman 2: The Legend Continues (2013) : 8450
Anchorman: The Legend of Ron Burgundy (2004) : 5475
Anchors Aweigh (1945) : 2873
And God Created Woman (1988) : 2675
And God Created Woman (Et Dieu... créa la femme) (1956) : 3075
And So It Goes (2014) : 8597
And Then There Were None (1945) : 3850
And Your Mother Too (Y tu mamá también) (2001) : 4005
And the Band Played On (1993) : 1631
And the Ship Sails On (E la nave va) (1983) : 2323
Andre (1994) : 514
Andrei Rublev (Andrey Rublyov) (1969) : 5725
Angel Baby (1995) : 1158
Angel Eyes (2001) : 3418
Angel Heart (1987) : 2960
Angel and the Badman (1947) : 782
Angel on My Shoulder (1946) : 778
Angela (1995) : 116
Angela's Ashes (1999) : 2556
Angels & Demons (2009) : 7198
Angels and Insects (1995) : 79
Angels in America (2003) : 6234
Angels in the Outfield (1994) : 825
Angels with Dirty Faces (1938) : 5455
Anger Management (2003) : 4555
Angie (1994) : 4802
Angst  (1983) : 8240
Angus (1995) : 593
Animal Crackers (1930) : 5200
Animal House (1978) : 2727
Animal Kingdom (2010) : 7577
Animals are Beautiful People (1974) : 4618
Anna Karenina (2012) : 8155
Anna and the King (1999) : 2536
Anna and the King of Siam (1946) : 6141
Annapolis (2006) : 6337
Anne Frank Remembered (1995) : 105
Anne of Green Gables (1985) : 5800
Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987) : 7427
Anne of the Thousand Days (1969) : 5346
Annie (1982) : 3237
Annie Hall (1977) : 985
Anomalisa (2015) : 8915
Another 48 Hrs. (1990) : 3895
Another Day in Paradise (1998) : 1949
Another Earth (2011) : 7841
Another Stakeout (1993) : 365
Another Thin Man (1939) : 5238
Another Year (2010) : 7668
Ant-Man (2015) : 8749
Antichrist (2009) : 7219
Antitrust (2001) : 3247
Antonia's Line (Antonia) (1995) : 76
Antonio das Mortes (O Dragão da Maldade contra o Santo Guerreiro) (1969) : 6943
Antwone Fisher (2002) : 4393
Antz (1998) : 1815
Anvil! The Story of Anvil (2008) : 7172
Any Given Sunday (1999) : 2550
Any Which Way You Can (1980) : 3694
Anywhere But Here (1999) : 2452
Apache (1954) : 3426
Apartment 143 (2011) : 8107
Apocalypse Now (1979) : 964
Apocalypto (2006) : 6512
Apollo 13 (1995) : 129
Apollo 13: To the Edge and Back (1994) : 7182
Appleseed (Appurushîdo) (2004) : 6001
Appointment with Death (1988) : 3525
Approaching the Unknown (2016) : 9045
April Fool's Day (1986) : 1075
April Love (1957) : 7860
Apt Pupil (1998) : 1835
Aqua Teen Hunger Force Colon Movie Film for Theaters (2007) : 6656
Aquamarine (2006) : 6369
Arabian Nights (Il fiore delle mille e una notte) (1974) : 6094
Arachnophobia (1990) : 2159
Are We There Yet? (2005) : 6014
Argo (2012) : 8131
Aria (1987) : 7493
Ariel (1988) : 3526
Arizona Dream (1993) : 5360
Arlington Road (1999) : 2165
Armageddon (1998) : 1480
Armed and Dangerous (1986) : 1965
Armored (2009) : 7383
Armour of God (Long xiong hu di) (1987) : 2308
Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991) : 2307
Army of Darkness (1993) : 971
Army of Shadows (L'armée des ombres) (1969) : 6451
Around the World in 80 Days (1956) : 772
Around the World in 80 Days (2004) : 5429
Arranged (2007) : 6853
Arsenic and Old Lace (1944) : 1023
Art School Confidential (2006) : 6410
Arthur (1981) : 2815
Arthur (2011) : 7762
Arthur 2: On the Rocks (1988) : 3527
Arthur Christmas (2011) : 7921
Arthur and the Invisibles (2007) : 6582
Artists and Models (1955) : 7518
As Good as It Gets (1997) : 1393
As We Were Dreaming (2015),(no genres listed) : 8786
As it is in Heaven (Så som i himmelen) (2004) : 5953
Ashby (2015) : 8965
Ashes and Diamonds (Popiól i diament) (1958) : 5063
Ashes of Time (Dung che sai duk) (1994) : 631
Asoka (Ashoka the Great) (2001) : 4410
Aspen (1991) : 7125
Assassins (1995) : 22
Assault on Precinct 13 (1976) : 2978
